,ds,hc,ore1,rb,ore2,ore3,ore4,ore5,GMKN,POLY,MAGN,LKOH,ROSN,cnyrub,usdrub
0,2014-03-21,3340.0,58.18181818181818,3269.0,597.6,89.0,78.2,90.6904,7029.0,377.85,6.835,1910.0,240.36,9.656,59.61
1,2014-03-24,3332.0,58.18181818181818,3242.0,597.6,89.0,78.2,90.6904,7029.0,366.75,6.835,1869.4,240.36,9.656,59.61
2,2014-03-25,3386.0,58.18181818181818,3293.0,597.6,89.0,78.2,90.6904,7029.0,346.3,6.835,1879.5,240.36,9.656,59.61
3,2014-03-26,3402.0,58.18181818181818,3303.0,597.6,89.0,78.2,90.6904,7029.0,358.13,6.835,1920.0,240.36,9.656,59.61
4,2014-03-27,3396.0,58.18181818181818,3307.0,597.6,89.0,78.2,90.6904,7029.0,354.65,6.835,1909.0,240.36,9.656,59.61
5,2014-03-28,3406.0,58.18181818181818,3327.0,597.6,89.0,78.2,90.6904,7029.0,360.0,6.835,1906.0,240.36,9.656,59.61
6,2014-03-31,3448.0,58.18181818181818,3364.0,597.6,89.0,78.2,90.6904,7029.0,366.71,6.835,1960.0,240.36,9.656,59.61
7,2014-04-01,3456.0,58.18181818181818,3370.0,597.6,89.0,78.2,90.6904,7029.0,369.74,6.835,1965.6,240.36,9.656,59.61
8,2014-04-02,3456.0,58.18181818181818,3374.0,597.6,89.0,78.2,90.6904,7029.0,375.75,6.835,1954.0,240.36,9.656,59.61
9,2014-04-03,3446.0,58.18181818181818,3370.0,597.6,89.0,78.2,90.6904,7029.0,358.37,6.835,1954.0,240.36,9.656,59.61
10,2014-04-04,3470.0,58.18181818181818,3392.0,597.6,89.0,78.2,90.6904,7029.0,366.6,6.835,1966.0,240.36,9.656,59.61
11,2014-04-08,3496.0,58.18181818181818,3447.0,597.6,89.0,78.2,90.6904,7029.0,372.03,6.835,1920.0,240.36,9.656,59.61
12,2014-04-09,3496.0,58.18181818181818,3447.0,597.6,89.0,78.2,90.6904,7029.0,366.35,6.835,1900.0,240.36,9.656,59.61
13,2014-04-10,3490.0,58.18181818181818,3428.0,597.6,89.0,78.2,90.6904,7029.0,366.5,6.835,1914.3,240.36,9.656,59.61
14,2014-04-11,3476.0,58.18181818181818,3407.0,597.6,89.0,78.2,90.6904,7029.0,369.85,6.835,1898.1,240.36,9.656,59.61
15,2014-04-14,3480.0,58.18181818181818,3409.0,597.6,89.0,78.2,90.6904,7029.0,374.0,6.835,1880.0,240.36,9.656,59.61
16,2014-04-15,3468.0,58.18181818181818,3391.0,597.6,89.0,78.2,90.6904,7029.0,366.41,6.835,1850.0,240.36,9.656,59.61
17,2014-04-16,3454.0,58.18181818181818,3380.0,597.6,89.0,78.2,90.6904,7029.0,372.98,6.835,1865.0,240.36,9.656,59.61
18,2014-04-17,3452.0,58.18181818181818,3374.0,597.6,89.0,78.2,90.6904,7029.0,365.35,6.835,1872.0,240.36,9.656,59.61
19,2014-04-18,3400.0,58.18181818181818,3308.0,597.6,89.0,78.2,90.6904,7029.0,377.11,6.835,1899.9,240.36,9.656,59.61
20,2014-04-21,3378.0,58.18181818181818,3290.0,597.6,89.0,78.2,90.6904,7029.0,370.2,6.835,1889.0,240.36,9.656,59.61
21,2014-04-22,3362.0,58.18181818181818,3267.0,597.6,89.0,78.2,90.6904,7029.0,368.0,6.835,1873.4,240.36,9.656,59.61
22,2014-04-23,3372.0,58.18181818181818,3275.0,597.6,89.0,78.2,90.6904,7029.0,365.0,6.835,1880.1,240.36,9.656,59.61
23,2014-04-24,3394.0,58.18181818181818,3294.0,597.6,89.0,78.2,90.6904,7029.0,354.97,6.835,1856.7,240.36,9.656,59.61
24,2014-04-25,3398.0,58.18181818181818,3304.0,597.6,89.0,78.2,90.6904,7029.0,350.98,6.835,1838.0,240.36,9.656,59.61
25,2014-04-28,3352.0,58.18181818181818,3248.0,597.6,89.0,78.2,90.6904,7029.0,355.0,6.835,1865.0,240.36,9.656,59.61
26,2014-04-29,3360.0,58.18181818181818,3244.0,597.6,89.0,78.2,90.6904,7029.0,352.49,6.835,1889.3,240.36,9.656,59.61
27,2014-04-30,3332.0,58.18181818181818,3221.0,597.6,89.0,78.2,90.6904,7029.0,335.06,6.835,1880.1,240.36,9.656,59.61
28,2014-05-05,3326.0,58.18181818181818,3204.0,597.6,89.0,78.2,90.6904,7029.0,329.08,6.835,1866.0,240.36,9.656,59.61
29,2014-05-06,3330.0,58.18181818181818,3213.0,597.6,89.0,78.2,90.6904,7029.0,334.0,6.835,1878.9,240.36,9.656,59.61
30,2014-05-07,3314.0,58.18181818181818,3181.0,597.6,89.0,78.2,90.6904,7029.0,350.0,6.835,1919.0,240.36,9.656,59.61
31,2014-05-08,3300.0,58.18181818181818,3150.0,597.6,89.0,78.2,90.6904,7029.0,346.12,6.835,1942.8,240.36,9.656,59.61
32,2014-05-09,3302.0,58.18181818181818,3149.0,597.6,89.0,78.2,90.6904,7029.0,346.12,6.835,1942.8,240.36,9.656,59.61
33,2014-05-12,3304.0,58.18181818181818,3152.0,597.6,89.0,78.2,90.6904,7029.0,342.06,6.835,1950.0,240.36,9.656,59.61
34,2014-05-13,3320.0,58.18181818181818,3166.0,597.6,89.0,78.2,90.6904,7029.0,333.0,6.835,1931.3,240.36,9.656,59.61
35,2014-05-14,3316.0,58.18181818181818,3157.0,597.6,89.0,78.2,90.6904,7029.0,334.0,6.835,1910.9,240.36,9.656,59.61
36,2014-05-15,3306.0,58.18181818181818,3143.0,597.6,89.0,78.2,90.6904,7029.0,331.68,6.835,1890.0,240.36,9.656,59.61
37,2014-05-16,3270.0,58.18181818181818,3090.0,597.6,89.0,78.2,90.6904,7029.0,327.99,6.835,1919.0,240.36,9.656,59.61
38,2014-05-19,3274.0,58.18181818181818,3080.0,597.6,89.0,78.2,90.6904,7029.0,328.0,6.835,1938.0,240.36,9.656,59.61
39,2014-05-20,3262.0,58.18181818181818,3071.0,597.6,89.0,78.2,90.6904,7029.0,327.01,6.835,1979.0,240.36,9.656,59.61
40,2014-05-21,3270.0,58.18181818181818,3075.0,597.6,89.0,78.2,90.6904,7029.0,329.85,6.835,1995.0,240.36,9.656,59.61
41,2014-05-22,3290.0,58.18181818181818,3101.0,597.6,89.0,78.2,90.6904,7029.0,302.82,6.835,1965.2,240.36,9.656,59.61
42,2014-05-23,3286.0,58.18181818181818,3104.0,597.6,89.0,78.2,90.6904,7029.0,295.99,6.835,1957.0,240.36,9.656,59.61
43,2014-05-26,3320.0,58.18181818181818,3141.0,597.6,89.0,78.2,90.6904,7029.0,301.0,6.835,1972.0,240.36,9.656,59.61
44,2014-05-27,3342.0,58.18181818181818,3146.0,597.6,89.0,78.2,90.6904,7029.0,301.28,6.835,1930.3,240.36,9.656,59.61
